experiment,measure,sample,condition,replicate
1_TechRep1,Intensity,1_TechRep1,fold1,1
1_TechRep2,Intensity,1_TechRep2,fold1,2
1_TechRep3,Intensity,1_TechRep3,fold1,3
1_TechRep4,Intensity,1_TechRep4,fold1,4
1_TechRep5,Intensity,1_TechRep5,fold1,5
1_TechRep6,Intensity,1_TechRep6,fold1,6
10_TechRep1,Intensity,10_TechRep1,fold10,1
10_TechRep2,Intensity,10_TechRep2,fold10,2
10_TechRep3,Intensity,10_TechRep3,fold10,3
10_TechRep4,Intensity,10_TechRep4,fold10,4
10_TechRep5,Intensity,10_TechRep5,fold10,5
10_TechRep6,Intensity,10_TechRep6,fold10,6
4_TechRep1,Intensity,4_TechRep1,fold4,1
4_TechRep2,Intensity,4_TechRep2,fold4,2
4_TechRep3,Intensity,4_TechRep3,fold4,3
4_TechRep4,Intensity,4_TechRep4,fold4,4
4_TechRep5,Intensity,4_TechRep5,fold4,5
4_TechRep6,Intensity,4_TechRep6,fold4,6
